[CLIENT-0-SCAFFOLD] Run started at: 2026-03-23 09:37:01
[CLIENT-0-SCAFFOLD] ============================================================
[CLIENT-0-SCAFFOLD] FeCoGraph SCAFFOLD Client 0
[CLIENT-0-SCAFFOLD] Device: cpu
[CLIENT-0-SCAFFOLD] ============================================================
[CLIENT-0-SCAFFOLD] Train: 25,353 | Test: 59,159 | Labeled: 7604
[CLIENT-0-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-0-SCAFFOLD] Connected and registered.
[CLIENT-0-SCAFFOLD]   Round 1 | Loss=6.5750 | Acc(G)=0.9163 | Acc(P)=0.0199 | F1(P)=0.0198 | Time=6.5s
[CLIENT-0-SCAFFOLD]   Round 2 | Loss=6.5682 | Acc(G)=0.9195 | Acc(P)=0.4981 | F1(P)=0.3412 | Time=6.8s
[CLIENT-0-SCAFFOLD]   Round 3 | Loss=6.5738 | Acc(G)=0.9153 | Acc(P)=0.6035 | F1(P)=0.3879 | Time=6.5s
[CLIENT-0-SCAFFOLD]   Round 4 | Loss=6.5671 | Acc(G)=0.9135 | Acc(P)=0.8755 | F1(P)=0.5038 | Time=6.7s
[CLIENT-0-SCAFFOLD]   Round 5 | Loss=6.5690 | Acc(G)=0.9153 | Acc(P)=0.9665 | F1(P)=0.6002 | Time=7.4s
[CLIENT-0-SCAFFOLD]   Round 6 | Loss=6.5647 | Acc(G)=0.9206 | Acc(P)=0.9750 | F1(P)=0.6250 | Time=7.1s
[CLIENT-0-SCAFFOLD]   Round 7 | Loss=6.5611 | Acc(G)=0.9197 | Acc(P)=0.9864 | F1(P)=0.6935 | Time=6.8s
[CLIENT-0-SCAFFOLD]   Round 8 | Loss=6.5663 | Acc(G)=0.9222 | Acc(P)=0.9829 | F1(P)=0.6800 | Time=6.5s
[CLIENT-0-SCAFFOLD]   Round 9 | Loss=6.5631 | Acc(G)=0.9197 | Acc(P)=0.9788 | F1(P)=0.6422 | Time=6.6s
[CLIENT-0-SCAFFOLD]   Round 10 | Loss=6.5612 | Acc(G)=0.9187 | Acc(P)=0.9868 | F1(P)=0.6967 | Time=6.8s
[CLIENT-0-SCAFFOLD]   Round 11 | Loss=6.5551 | Acc(G)=0.9190 | Acc(P)=0.9902 | F1(P)=0.7346 | Time=6.9s
