[CLIENT-1-SCAFFOLD] Run started at: 2026-03-25 07:11:27
[CLIENT-1-SCAFFOLD] Run ID: 20260325_071127
[CLIENT-1-SCAFFOLD] Log file: results\scaffold_binary_sslcon\logs\client_1_20260325_071127.log
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: sslcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1392
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 1 | Loss=5.4135 | Acc(G)=0.7823 | Acc(P)=0.7705 | F1(P)=0.6311 | Time=10.7s
[CLIENT-1-SCAFFOLD]   Round 2 | Loss=5.1033 | Acc(G)=0.7667 | Acc(P)=0.9026 | F1(P)=0.8793 | Time=7.0s
[CLIENT-1-SCAFFOLD]   Round 3 | Loss=4.8993 | Acc(G)=0.8576 | Acc(P)=0.9119 | F1(P)=0.8935 | Time=7.0s
[CLIENT-1-SCAFFOLD]   Round 4 | Loss=4.9933 | Acc(G)=0.8283 | Acc(P)=0.9305 | F1(P)=0.9145 | Time=7.4s
[CLIENT-1-SCAFFOLD]   Round 5 | Loss=4.8900 | Acc(G)=0.8449 | Acc(P)=0.9313 | F1(P)=0.9156 | Time=7.3s
[CLIENT-1-SCAFFOLD]   Round 6 | Loss=4.9619 | Acc(G)=0.8520 | Acc(P)=0.9318 | F1(P)=0.9162 | Time=7.1s
[CLIENT-1-SCAFFOLD]   Round 7 | Loss=4.8753 | Acc(G)=0.8118 | Acc(P)=0.9327 | F1(P)=0.9172 | Time=7.0s
[CLIENT-1-SCAFFOLD]   Round 8 | Loss=4.9487 | Acc(G)=0.8131 | Acc(P)=0.9324 | F1(P)=0.9168 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 9 | Loss=4.8579 | Acc(G)=0.8371 | Acc(P)=0.9324 | F1(P)=0.9170 | Time=5.5s
[CLIENT-1-SCAFFOLD]   Round 10 | Loss=4.9411 | Acc(G)=0.8190 | Acc(P)=0.9351 | F1(P)=0.9199 | Time=6.2s
[CLIENT-1-SCAFFOLD]   Round 11 | Loss=4.8453 | Acc(G)=0.8479 | Acc(P)=0.9341 | F1(P)=0.9189 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 12 | Loss=4.9264 | Acc(G)=0.8174 | Acc(P)=0.9362 | F1(P)=0.9211 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 13 | Loss=4.8574 | Acc(G)=0.7909 | Acc(P)=0.9375 | F1(P)=0.9228 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 14 | Loss=4.9227 | Acc(G)=0.7519 | Acc(P)=0.9376 | F1(P)=0.9230 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 15 | Loss=4.8497 | Acc(G)=0.7916 | Acc(P)=0.9373 | F1(P)=0.9226 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 16 | Loss=4.9197 | Acc(G)=0.6867 | Acc(P)=0.9371 | F1(P)=0.9224 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 17 | Loss=4.8572 | Acc(G)=0.7912 | Acc(P)=0.9346 | F1(P)=0.9196 | Time=5.6s
[CLIENT-1-SCAFFOLD]   Round 18 | Loss=4.9157 | Acc(G)=0.6318 | Acc(P)=0.9370 | F1(P)=0.9222 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 19 | Loss=4.8474 | Acc(G)=0.7910 | Acc(P)=0.9360 | F1(P)=0.9210 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 20 | Loss=4.9156 | Acc(G)=0.5912 | Acc(P)=0.9365 | F1(P)=0.9215 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 21 | Loss=4.8516 | Acc(G)=0.7896 | Acc(P)=0.9361 | F1(P)=0.9211 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 22 | Loss=4.9192 | Acc(G)=0.5647 | Acc(P)=0.9345 | F1(P)=0.9194 | Time=6.9s
[CLIENT-1-SCAFFOLD]   Round 23 | Loss=4.8362 | Acc(G)=0.7891 | Acc(P)=0.9347 | F1(P)=0.9196 | Time=7.6s
[CLIENT-1-SCAFFOLD]   Round 24 | Loss=4.9059 | Acc(G)=0.5030 | Acc(P)=0.9376 | F1(P)=0.9229 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 25 | Loss=4.8417 | Acc(G)=0.7888 | Acc(P)=0.9361 | F1(P)=0.9211 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 26 | Loss=4.9122 | Acc(G)=0.4689 | Acc(P)=0.9382 | F1(P)=0.9236 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 27 | Loss=4.8506 | Acc(G)=0.7889 | Acc(P)=0.9458 | F1(P)=0.9324 | Time=6.0s
