[CLIENT-1-SCAFFOLD] Run started at: 2026-03-23 10:04:16
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: supcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1392
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 1 | Loss=6.2956 | Acc(G)=0.7840 | Acc(P)=0.7885 | F1(P)=0.6694 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 2 | Loss=6.3406 | Acc(G)=0.7369 | Acc(P)=0.8992 | F1(P)=0.8744 | Time=5.6s
[CLIENT-1-SCAFFOLD]   Round 3 | Loss=6.2155 | Acc(G)=0.8905 | Acc(P)=0.9130 | F1(P)=0.8943 | Time=6.1s
[CLIENT-1-SCAFFOLD]   Round 4 | Loss=6.3399 | Acc(G)=0.7358 | Acc(P)=0.9317 | F1(P)=0.9160 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 5 | Loss=6.2156 | Acc(G)=0.9099 | Acc(P)=0.9325 | F1(P)=0.9172 | Time=6.2s
[CLIENT-1-SCAFFOLD]   Round 6 | Loss=6.3428 | Acc(G)=0.7839 | Acc(P)=0.9328 | F1(P)=0.9175 | Time=6.1s
[CLIENT-1-SCAFFOLD]   Round 7 | Loss=6.2164 | Acc(G)=0.9216 | Acc(P)=0.9331 | F1(P)=0.9178 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 8 | Loss=6.3428 | Acc(G)=0.8028 | Acc(P)=0.9335 | F1(P)=0.9182 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 9 | Loss=6.2125 | Acc(G)=0.9241 | Acc(P)=0.9376 | F1(P)=0.9231 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 10 | Loss=6.3429 | Acc(G)=0.8111 | Acc(P)=0.9368 | F1(P)=0.9222 | Time=6.1s
[CLIENT-1-SCAFFOLD]   Round 11 | Loss=6.2193 | Acc(G)=0.9119 | Acc(P)=0.9374 | F1(P)=0.9228 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 12 | Loss=6.3432 | Acc(G)=0.8187 | Acc(P)=0.9382 | F1(P)=0.9237 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 13 | Loss=6.2191 | Acc(G)=0.9142 | Acc(P)=0.9387 | F1(P)=0.9244 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 14 | Loss=6.3430 | Acc(G)=0.8224 | Acc(P)=0.9386 | F1(P)=0.9243 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 15 | Loss=6.2173 | Acc(G)=0.9193 | Acc(P)=0.9373 | F1(P)=0.9228 | Time=16.1s
[CLIENT-1-SCAFFOLD]   Round 16 | Loss=6.3436 | Acc(G)=0.8263 | Acc(P)=0.9382 | F1(P)=0.9238 | Time=5.2s
[CLIENT-1-SCAFFOLD]   Round 17 | Loss=6.2194 | Acc(G)=0.9230 | Acc(P)=0.9386 | F1(P)=0.9243 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 18 | Loss=6.3426 | Acc(G)=0.8311 | Acc(P)=0.9491 | F1(P)=0.9364 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 19 | Loss=6.2171 | Acc(G)=0.9273 | Acc(P)=0.9368 | F1(P)=0.9221 | Time=6.1s
[CLIENT-1-SCAFFOLD]   Round 20 | Loss=6.3443 | Acc(G)=0.8310 | Acc(P)=0.9488 | F1(P)=0.9361 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 21 | Loss=6.2134 | Acc(G)=0.9280 | Acc(P)=0.9456 | F1(P)=0.9323 | Time=6.6s
[CLIENT-1-SCAFFOLD]   Round 22 | Loss=6.3447 | Acc(G)=0.7874 | Acc(P)=0.9460 | F1(P)=0.9328 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 23 | Loss=6.2183 | Acc(G)=0.8857 | Acc(P)=0.9353 | F1(P)=0.9206 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 24 | Loss=6.3433 | Acc(G)=0.7807 | Acc(P)=0.9484 | F1(P)=0.9356 | Time=6.2s
[CLIENT-1-SCAFFOLD]   Round 25 | Loss=6.2207 | Acc(G)=0.8863 | Acc(P)=0.9485 | F1(P)=0.9357 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 26 | Loss=6.3439 | Acc(G)=0.7834 | Acc(P)=0.9487 | F1(P)=0.9359 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 27 | Loss=6.2187 | Acc(G)=0.8878 | Acc(P)=0.9487 | F1(P)=0.9360 | Time=6.3s
[CLIENT-1-SCAFFOLD]   Round 28 | Loss=6.3439 | Acc(G)=0.7881 | Acc(P)=0.9480 | F1(P)=0.9351 | Time=6.5s
