[CLIENT-1-SCAFFOLD] Run started at: 2026-03-25 08:23:25
[CLIENT-1-SCAFFOLD] Run ID: 20260325_082325
[CLIENT-1-SCAFFOLD] Log file: results\scaffold_multiclass_sslcon\logs\client_1_20260325_082325.log
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: sslcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1389
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 1 | Loss=5.4909 | Acc(G)=0.0129 | Acc(P)=0.0282 | F1(P)=0.0303 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 2 | Loss=5.2135 | Acc(G)=0.2545 | Acc(P)=0.0742 | F1(P)=0.1426 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 3 | Loss=5.0215 | Acc(G)=0.0065 | Acc(P)=0.0968 | F1(P)=0.1449 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 4 | Loss=5.1051 | Acc(G)=0.2547 | Acc(P)=0.1099 | F1(P)=0.1465 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 5 | Loss=5.0002 | Acc(G)=0.0080 | Acc(P)=0.0951 | F1(P)=0.0934 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 6 | Loss=5.0777 | Acc(G)=0.2547 | Acc(P)=0.1906 | F1(P)=0.2255 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 7 | Loss=4.9913 | Acc(G)=0.0101 | Acc(P)=0.1802 | F1(P)=0.2398 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 8 | Loss=5.0688 | Acc(G)=0.2547 | Acc(P)=0.1926 | F1(P)=0.2351 | Time=15.3s
[CLIENT-1-SCAFFOLD]   Round 9 | Loss=4.9943 | Acc(G)=0.0114 | Acc(P)=0.1539 | F1(P)=0.2313 | Time=15.2s
[CLIENT-1-SCAFFOLD]   Round 10 | Loss=5.0488 | Acc(G)=0.2547 | Acc(P)=0.1954 | F1(P)=0.2516 | Time=15.1s
[CLIENT-1-SCAFFOLD]   Round 11 | Loss=4.9767 | Acc(G)=0.0125 | Acc(P)=0.2600 | F1(P)=0.2995 | Time=15.4s
[CLIENT-1-SCAFFOLD]   Round 12 | Loss=5.0645 | Acc(G)=0.2547 | Acc(P)=0.3704 | F1(P)=0.3612 | Time=15.4s
[CLIENT-1-SCAFFOLD]   Round 13 | Loss=4.9743 | Acc(G)=0.0125 | Acc(P)=0.3839 | F1(P)=0.4002 | Time=15.1s
[CLIENT-1-SCAFFOLD]   Round 14 | Loss=5.0629 | Acc(G)=0.2547 | Acc(P)=0.4161 | F1(P)=0.4305 | Time=15.4s
[CLIENT-1-SCAFFOLD]   Round 15 | Loss=4.9799 | Acc(G)=0.0144 | Acc(P)=0.5000 | F1(P)=0.4496 | Time=5.4s
[CLIENT-1-SCAFFOLD]   Round 16 | Loss=5.0743 | Acc(G)=0.2547 | Acc(P)=0.5130 | F1(P)=0.4574 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 17 | Loss=4.9842 | Acc(G)=0.0154 | Acc(P)=0.4974 | F1(P)=0.4346 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 18 | Loss=5.0480 | Acc(G)=0.2547 | Acc(P)=0.5186 | F1(P)=0.4278 | Time=5.6s
[CLIENT-1-SCAFFOLD]   Round 19 | Loss=4.9664 | Acc(G)=0.0158 | Acc(P)=0.4745 | F1(P)=0.3332 | Time=5.7s
[CLIENT-1-SCAFFOLD]   Round 20 | Loss=5.0735 | Acc(G)=0.2547 | Acc(P)=0.4723 | F1(P)=0.4027 | Time=5.8s
[CLIENT-1-SCAFFOLD]   Round 21 | Loss=4.9653 | Acc(G)=0.0153 | Acc(P)=0.5913 | F1(P)=0.4571 | Time=7.7s
[CLIENT-1-SCAFFOLD]   Round 22 | Loss=5.0461 | Acc(G)=0.2547 | Acc(P)=0.8875 | F1(P)=0.4879 | Time=15.7s
[CLIENT-1-SCAFFOLD]   Round 23 | Loss=4.9736 | Acc(G)=0.0168 | Acc(P)=0.8462 | F1(P)=0.4641 | Time=15.3s
[CLIENT-1-SCAFFOLD]   Round 24 | Loss=5.0611 | Acc(G)=0.2547 | Acc(P)=0.8856 | F1(P)=0.4963 | Time=15.1s
[CLIENT-1-SCAFFOLD]   Round 25 | Loss=4.9787 | Acc(G)=0.0171 | Acc(P)=0.8869 | F1(P)=0.5315 | Time=13.0s
[CLIENT-1-SCAFFOLD]   Round 26 | Loss=5.0464 | Acc(G)=0.2547 | Acc(P)=0.8909 | F1(P)=0.4833 | Time=15.6s
[CLIENT-1-SCAFFOLD]   Round 27 | Loss=4.9805 | Acc(G)=0.0172 | Acc(P)=0.8799 | F1(P)=0.5366 | Time=15.4s
[CLIENT-1-SCAFFOLD]   Round 28 | Loss=5.0557 | Acc(G)=0.2547 | Acc(P)=0.9051 | F1(P)=0.5743 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 29 | Loss=4.9757 | Acc(G)=0.0173 | Acc(P)=0.8582 | F1(P)=0.5283 | Time=6.1s
[CLIENT-1-SCAFFOLD]   Round 30 | Loss=5.0547 | Acc(G)=0.2547 | Acc(P)=0.7748 | F1(P)=0.4928 | Time=6.2s
