[CLIENT-1-SCAFFOLD] Run started at: 2026-03-25 10:49:13
[CLIENT-1-SCAFFOLD] Run ID: 20260325_104913
[CLIENT-1-SCAFFOLD] Log file: results\scaffold_multiclass_supcon\logs\client_1_20260325_104913.log
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] FeCoGraph SCAFFOLD Client 1
[CLIENT-1-SCAFFOLD] Contrastive mode: supcon
[CLIENT-1-SCAFFOLD] Device: cpu
[CLIENT-1-SCAFFOLD] ============================================================
[CLIENT-1-SCAFFOLD] Train: 4,646 | Test: 10,842 | Labeled: 1389
[CLIENT-1-SCAFFOLD] Connecting to server 127.0.0.1:9999...
[CLIENT-1-SCAFFOLD] Connected and registered.
[CLIENT-1-SCAFFOLD]   Round 1 | Loss=5.9314 | Acc(G)=0.0230 | Acc(P)=0.0419 | F1(P)=0.0328 | Time=12.4s
[CLIENT-1-SCAFFOLD]   Round 2 | Loss=6.2570 | Acc(G)=0.1455 | Acc(P)=0.1513 | F1(P)=0.1563 | Time=8.2s
[CLIENT-1-SCAFFOLD]   Round 3 | Loss=5.7126 | Acc(G)=0.0186 | Acc(P)=0.1799 | F1(P)=0.1531 | Time=6.7s
[CLIENT-1-SCAFFOLD]   Round 4 | Loss=6.2619 | Acc(G)=0.1439 | Acc(P)=0.1834 | F1(P)=0.1363 | Time=6.9s
[CLIENT-1-SCAFFOLD]   Round 5 | Loss=5.7192 | Acc(G)=0.0183 | Acc(P)=0.2178 | F1(P)=0.2015 | Time=7.3s
[CLIENT-1-SCAFFOLD]   Round 6 | Loss=6.2833 | Acc(G)=0.1429 | Acc(P)=0.1977 | F1(P)=0.2450 | Time=7.0s
[CLIENT-1-SCAFFOLD]   Round 7 | Loss=5.7246 | Acc(G)=0.0183 | Acc(P)=0.2252 | F1(P)=0.2816 | Time=6.2s
[CLIENT-1-SCAFFOLD]   Round 8 | Loss=6.2673 | Acc(G)=0.1468 | Acc(P)=0.2157 | F1(P)=0.2572 | Time=6.0s
[CLIENT-1-SCAFFOLD]   Round 9 | Loss=5.7363 | Acc(G)=0.0183 | Acc(P)=0.5660 | F1(P)=0.3384 | Time=5.9s
[CLIENT-1-SCAFFOLD]   Round 10 | Loss=6.2647 | Acc(G)=0.1437 | Acc(P)=0.3834 | F1(P)=0.3191 | Time=6.5s
[CLIENT-1-SCAFFOLD]   Round 11 | Loss=5.7224 | Acc(G)=0.0184 | Acc(P)=0.6496 | F1(P)=0.3731 | Time=6.1s
